dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE267401	GSM8265214_CTC17M	4	M2_spatial_ward	-0.06486356105610602	0.34469738458882804	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication-m2
GSE267401	GSM8265214_CTC17M	4	M3_spatial_leiden	-0.08805756105610596	0.31725238458882804	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication
GSE267401	GSM8265214_CTC17M	4	M4_spagcn	0.272446438943894	0.32428538458882805	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication-m4
GSE267401	GSM8265214_CTC17M	4	M5_stagate	0.12201843894389397	0.394913384588828	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication-m5
GSE267401	GSM8265214_CTC17M	6	M0_expr_kmeans	0.317398091675834	0.32305561709786	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication
GSE267401	GSM8265214_CTC17M	6	M1_spatial_concat_kmeans	0.3190440916758339	0.32186361709786	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication
GSE267401	GSM8265214_CTC17M	6	M2_spatial_ward	-0.10468190832416602	0.37244361709786	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication-m2
GSE267401	GSM8265214_CTC17M	6	M3_spatial_leiden	-0.137089908324166	0.39311461709786	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication
GSE267401	GSM8265214_CTC17M	6	M4_spagcn	0.23057809167583398	0.37108761709786	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication-m4
GSE267401	GSM8265214_CTC17M	6	M5_stagate	0.10423809167583398	0.40682661709786	rigor-backfill-v4-GSE267401-GSM8265214_CTC17M	stage3b-full-replication-m5
GSE280318	GSM8703563_Tumor19	4	M0_expr_kmeans	0.29536243348982794	0.21907698278454796	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication
GSE280318	GSM8703563_Tumor19	4	M1_spatial_concat_kmeans	0.290209433489828	0.21567998278454797	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication
GSE280318	GSM8703563_Tumor19	4	M2_spatial_ward	0.018332433489827937	0.12570898278454795	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication-m2
GSE280318	GSM8703563_Tumor19	4	M3_spatial_leiden	-0.010630566510172024	0.25234398278454795	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication
GSE280318	GSM8703563_Tumor19	4	M4_spagcn	0.3698684334898279	0.308606982784548	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication-m4
GSE280318	GSM8703563_Tumor19	4	M5_stagate	0.10104543348982797	0.217927982784548	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication-m5
GSE280318	GSM8703563_Tumor19	6	M0_expr_kmeans	0.34521412050078193	0.14472621836053	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication
GSE280318	GSM8703563_Tumor19	6	M1_spatial_concat_kmeans	0.34445012050078194	0.14442221836052999	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication
GSE280318	GSM8703563_Tumor19	6	M2_spatial_ward	0.014314120500781957	0.09226621836053	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication-m2
GSE280318	GSM8703563_Tumor19	6	M3_spatial_leiden	-0.03592887949921797	0.21536821836053	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication
GSE280318	GSM8703563_Tumor19	6	M4_spagcn	0.424038120500782	0.16765621836053002	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication-m4
GSE280318	GSM8703563_Tumor19	6	M5_stagate	0.11785412050078203	0.15570821836053	rigor-backfill-v4-GSE280318-GSM8703563_Tumor19	stage3g-full-replication-m5
GSE280318	GSM8703564_Tumor20	4	M0_expr_kmeans	0.11769017276308402	-0.014500092130265041	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication
GSE280318	GSM8703564_Tumor20	4	M1_spatial_concat_kmeans	0.11735317276308399	-0.016048092130265035	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication
GSE280318	GSM8703564_Tumor20	4	M2_spatial_ward	-0.004563827236915952	-0.13140709213026502	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication-m2
GSE280318	GSM8703564_Tumor20	4	M3_spatial_leiden	-0.04176582723691602	0.08916490786973497	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication
GSE280318	GSM8703564_Tumor20	4	M4_spagcn	0.08924917276308397	-0.03134509213026504	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication-m4
GSE280318	GSM8703564_Tumor20	4	M5_stagate	0.03398617276308402	-0.02388409213026499	rigor-backfill-v4-GSE280318-GSM8703564_Tumor20	stage3g-full-replication-m5
