dataset_id	sample_id	official_method_id	method_label	K	feature_type	feature_id	genes_used	reference_id	official_reference_delta	n_alternatives	minimum_delta	maximum_delta	official_delta_range	n_sign_state_changes_vs_reference	official_any_sign_state_change_vs_reference	n_direction_reversals_vs_reference	official_any_direction_reversal_vs_reference	n_zero_involved_changes_vs_reference	all_partitions_same_direction	reference_block_delta	median_block_delta	n_partitions_with_evaluable_blocks	n_block_direction_reversals_vs_reference	any_block_direction_reversal_vs_reference	current_method_id	current_reference_delta	current_delta_range	current_any_direction_reversal_vs_reference	current_any_sign_state_change_vs_reference	reference_delta_sign_agrees
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	PTPRC	PTPRC	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	seed_11	-0.1586567864194341	2	-0.1735365464324161	-0.0315980466648504	0.1419384997675656	0	False	0	False	0	1	-0.0358270627082759	-0.0445729017887543	3	0	False	BayesSpace	-0.1382904185630331	0.1471263035773033	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	-0.2078086432224117	2	-0.3144435343247957	-0.0837471549451551	0.2306963793796406	0	False	0	False	0	1	-0.1740971450208714	-0.1136133320910368	3	0	False	BayesSpace	-0.1833161418341586	0.2021118099741388	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	-0.1192813473554934	2	-0.1835990092168535	0.0221204776795291	0.2057194868963827	1	True	1	True	0	0	-0.0417664704361447	-0.0417664704361447	3	1	True	BayesSpace	-0.0826074449293841	0.1751721306362217	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	-0.0252329444574195	2	-0.038854806583954	-0.0252329444574195	0.0136218621265344	0	False	0	False	0	1	-0.0091998412116691	-0.0270940846777772	3	0	False	BayesSpace	-0.0227791331021547	0.0188955581243736	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	SPP1	SPP1	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	gene	COL1A1	COL1A1	seed_11	0.1754325446585407	2	0.1101803783519064	0.2196485459483903	0.1094681675964839	0	False	0	False	0	1	0.6974853988495744	0.7557372062242473	3	0	False	M5_stagate	0.5881661356975272	1.2894362416364955	False	False	True
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	gene	EPCAM	EPCAM	seed_11	0.2208953667002373	2	0.1999604293914347	0.2532071516146961	0.0532467222232613	0	False	0	False	0	1	-0.0167344212811366	-0.0167344212811366	3	0	False	M5_stagate	-0.2631437226581479	0.4773289104430911	False	False	False
