dataset_id	sample_id	method_id	method_label	K	sensitivity_factor	reference_setting	alternative_setting	metric_name	metric_value	status	scope	source_file
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	0.02664999999999995	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.03109099999999998	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.133066	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.09582400000000002	success	all available CRC sections	global_characterization.tsv
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.004989000000000021	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.009492999999999974	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.08555199999999996	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.003682999999999992	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.1629529999999999	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.07238199999999995	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.01663899999999996	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.026438000000000073	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.069137	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	0.010650000000000048	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	0.057338	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.05817399999999995	success	all available CRC sections	global_characterization.tsv
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_stability_ari_median_K6_minus_K4	-0.09208399999999994	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_marker_coherence_median_K6_minus_K4	-0.12451100000000004	success	all available CRC sections	global_characterization.tsv
GSE311294	GSM9322957_TR11_206	M0_expr_kmeans	expression-only k-means	6	domain_resolution_K	K4	K6	delta_spatial_coherence_median_K6_minus_K4	-0.04841399999999996	success	all available CRC sections	global_characterization.tsv
