dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	2116	2574	0.0	0.0	0.0	0.0	0.0	1000	0.00010490011152020258	35	0.0	-0.058235307867067355	0.18129404365332438	0.00014423765334027855
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	2129	2561	0.0	0.0	0.0	0.0	0.0	1000	2.373742265606165e-06	35	0.0	-0.08812037487772845	0.19849923398790503	3.263895615208477e-06
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	2131	2559	1.1988054315411172	1.874631649539826	-0.6758262179987089	-0.7987466188062385	-0.5768311092485793	1000	6.02131999239048e-31	34	0.10431166548709614	-1.1534690705088169	1.386471526537788	1.3246903983259055e-30
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	2116	2574	1.1994253039895204	1.865319058879221	-0.6658937548897006	-0.7856695038432477	-0.5686708759278702	1000	2.5524550441396863e-32	35	0.08781158583842252	-1.2798436964030664	1.429836101548635	5.61540109710731e-32
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	2129	2561	1.2154586532605718	1.8567718558800366	-0.6413132026194648	-0.7670329737283381	-0.5439091765632657	1000	3.804863494126158e-28	35	0.07432860150869941	-1.2882873340113077	1.4847907253187196	8.370699687077547e-28
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	2131	2559	0.5414370916373756	0.9187101386368058	-0.3772730469994302	-0.423661197225932	-0.32051067005994993	1000	7.38730592535124e-38	34	0.028185443445159886	-0.7968647317451295	0.7238798663794104	2.031509129471591e-37
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	2116	2574	0.538976698742654	0.9119311337715219	-0.37295443502886794	-0.42532324695571205	-0.313103607841042	1000	2.1050868615236272e-39	35	0.012568747013026016	-0.7874701853444601	0.7370443334044535	5.788988869189975e-39
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	2129	2561	0.5404363564292592	0.9069866666633274	-0.36655031023406814	-0.42502673293406806	-0.3100820813764942	1000	1.9756139679372e-36	35	0.008098295539698208	-0.7648916500591825	0.7308773919866902	5.4329384118272996e-36
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	2131	2559	0.19194995533648918	0.10045950626587297	0.09149044907061621	0.06773968011084648	0.11065124596022029	1000	1.848165600520699e-26	34	0.0	-0.2394034724398042	0.4235913649074644	3.388303600954615e-26
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	2116	2574	0.1773940951646295	0.10700576796926209	0.07038832719536742	0.0468651042717137	0.09237447765113531	1000	8.674993187410347e-18	35	0.0	-0.19586697002277675	0.45183698294126234	1.590415417691897e-17
