dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	stability_type	ari	below_0_60	n_spots	n_switching	switching_fraction
GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9254349030408636	False	3415	117	0.034260614934114204
GSE285505	GSM8703566_Tumor26	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9681921905162674	False	3415	47	0.01376281112737921
GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9986554026467954	False	3742	2	0.0005344735435595938
GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	3742	0	0.0
GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9981299613533064	False	3742	3	0.0008017103153393907
GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9882857050411975	False	3742	18	0.004810261892036344
GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	4732	0	0.0
GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	4732	0	0.0
GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9981041070297283	False	4732	4	0.0008453085376162299
GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.8270628086836803	False	4732	429	0.09065934065934066
GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.9960948578524983	False	3673	5	0.001361285053090117
GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.9960948578524983	False	3673	5	0.001361285053090117
GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9737521390067228	False	3673	36	0.009801252382248844
GSE311294	GSM9322959_TR11_18105	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.985990196425599	False	3673	18	0.004900626191124422
GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	0.99938347946965	False	4362	1	0.00022925263640531865
GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	0.99752104291909	False	4362	6	0.001375515818431912
GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	0.9976176949032841	False	4362	5	0.0011462631820265932
GSE311294	GSM9322960_TR11_21723	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9965103261572578	False	4362	7	0.0016047684548372307
GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	4564	0	0.0
GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	seed_11	seed_37	seed_pair_ari	1.0	False	4564	0	0.0
GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_23	seed_pair_ari	1.0	False	4564	0	0.0
GSE311294	GSM9322961_TR16_23542	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	seed_11	seed_37	seed_pair_ari	0.9990223208872843	False	4564	2	0.00043821209465381246
GSE267401	GSM8265211_CTC21P	M2_spatial_ward	spatial Ward	4	neighbors_6	neighbors_4	graph_specification_ari	0.6864284500840303	False	4690	742	0.1582089552238806
GSE267401	GSM8265211_CTC21P	M2_spatial_ward	spatial Ward	4	neighbors_6	neighbors_8	graph_specification_ari	0.8879380087710298	False	4690	215	0.04584221748400853
GSE267401	GSM8265211_CTC21P	M2_spatial_ward	spatial Ward	6	neighbors_6	neighbors_4	graph_specification_ari	0.7178016934811752	False	4690	741	0.1579957356076759
GSE267401	GSM8265211_CTC21P	M2_spatial_ward	spatial Ward	6	neighbors_6	neighbors_8	graph_specification_ari	0.9270243784286208	False	4690	172	0.03667377398720682
GSE267401	GSM8265212_CTC21M	M2_spatial_ward	spatial Ward	4	neighbors_6	neighbors_4	graph_specification_ari	0.30838217522053163	True	3884	1579	0.4065396498455201
GSE267401	GSM8265212_CTC21M	M2_spatial_ward	spatial Ward	4	neighbors_6	neighbors_8	graph_specification_ari	0.2919301400499418	True	3884	1490	0.38362512873326465
